created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Tue Feb 28 17:08:20 +0000 2023,1630615898804604928,tour excitement is getting to me so excuse the corniness but imagine having this in your discography and that’s not even half of it. sometimes i listen to taylor’s music and remember why wars were fought over it almost literally. what a catalogue https://t.co/DMGbjhvm18,5,6,51,598,en,1170022476,1630615898804604928,brittscapes,https://twitter.com/brittscapes/status/1630615898804604928,
Tue Feb 28 17:06:34 +0000 2023,1630615455697100800,acknowledging that probably taylor swift won’t perform out of the woods at the eras tour https://t.co/IFrapOYbog,18,24,120,1161,en,1423732938080989190,1630615455697100800,celestialswiftt,https://twitter.com/celestialswiftt/status/1630615455697100800,
Tue Feb 28 17:04:43 +0000 2023,1630614988887867395,The fact that Taylor liked this is actually sending me 😭😭😭😭 like it’s so random and out of context https://t.co/wg8ccrPsPV,8,23,27,814,en,1184473143039143936,1630614988887867395,TayluhSwiff13,https://twitter.com/TayluhSwiff13/status/1630614988887867395,
Tue Feb 28 17:04:31 +0000 2023,1630614940049629185,Dave Roberts said Chris Taylor will start a throwing program to play more SS.  Mookie Betts playing more second base this season is also being discussed. #Dodgers,52,54,60,753,en,180180104,1630614940049629185,THEREAL_DV,https://twitter.com/THEREAL_DV/status/1630614940049629185,
Tue Feb 28 17:04:20 +0000 2023,1630614893140361247,"Mookie Betts is going to play more second base, per manager Dave Roberts.  Chris Taylor is going to play more shortstop.  Gavin Lux's surgery to repair his torn ACL is scheduled for March 7.  This is just heartbreaking for Lux and the Dodgers.",17,18,80,1165,en,2707609341,1630614893140361247,noahcamras,https://twitter.com/noahcamras/status/1630614893140361247,
Tue Feb 28 16:47:37 +0000 2023,1630610686777884673,"So, Marjorie Taylor Greene literally stalked &amp  yelled at David Hogg when he was 18 years old and walking down the street. And now she’s complaining how other people don’t show her any decency or respect? Give me a break, Marjorie Taylor Greene.",123,394,3186,19560,en,1084468387491790848,1630610686777884673,Victorshi2020,https://twitter.com/Victorshi2020/status/1630610686777884673,
Tue Feb 28 16:43:11 +0000 2023,1630609572200169477,red taylor is so precious &lt 3 https://t.co/qEWZppCiX1,3,6,167,1130,en,1404181794950426624,1630609572200169477,tswifthinker,https://twitter.com/tswifthinker/status/1630609572200169477,
Tue Feb 28 16:34:48 +0000 2023,1630607461248802816,"'cardigan' by Taylor Swift once again earned its best streaming day on Spotify in over 4 months, with 1,063,839 streams (+9%).  The 2020 lead-single charted on Spotify Global for a 4th time this year at #194 [+6], and on 7 regional Spotify charts:  #79 Philippines [-5] 99,003… https://t.co/gEoA7FlDHV",3,6,61,891,en,1460491409018994691,1630607461248802816,SpotifySwiftie,https://twitter.com/SpotifySwiftie/status/1630607461248802816,
Tue Feb 28 16:30:51 +0000 2023,1630606465789575173,Marjorie Taylor Greene is upset a woman &amp  her son yelled at her while she was eating dinner with her Staff last night. She said they acted like demons. Here’s her stalking behavior.   https://t.co/LEywZ6u3FU,26,54,229,341,en,1327060777568755713,1630606465789575173,DCelesteSpencer,https://twitter.com/DCelesteSpencer/status/1630606465789575173,
Tue Feb 28 16:23:29 +0000 2023,1630604613081505795,@davidhogg111 Marjorie Taylor Greene also seems to have kicked a reporter in this video.  I guess respect is only a one-way street for Republicans. https://t.co/zCDzczpNT8,31,138,394,3330,en,132339474,1630603183491014656,EdKrassen,https://twitter.com/EdKrassen/status/1630604613081505795,davidhogg111
